Sl no,Questions,3,2,1,0
1,Sadness,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
2,Pessimism,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
3,Regret over past failure,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
4,Loss of Pleasure,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
5,Guilty Feelings,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
6,Punishment Feelings,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
7,Self-Dislike,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
8,Self-Criticalness,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
9,Suicidal Thoughts or wishes,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
10,Crying,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
11,Agitation,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
12,Loss of interest,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
13,Indecisiveness,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
14,Worthlessness,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
15,Loss of energy,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
16,Changes in sleeping patterns,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
17,Irritability,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
18,Changes in Appetite,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
19,Difficulty to concentrate,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
20,Fatigue,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
21,Sadness,I feel this so much that it is unbearable.,I felt this all of the time.,I felt this much of the time.,I did not feel this at all.
